Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
"Snipr, A Search Engine",2177,474,41.0,1215,1340,899,0.7165532879818595,31
"Snipr, A Search Engine",2177,622,25.0,1215,1340,899,0.7165532879818595,31
PONG GAME,2179,183,9.0,979,1402,809,0.2866779089376054,73
PONG GAME,2179,535,5.0,979,1402,809,0.2866779089376054,73
SysPedia,2183,196,19.0,1121,1430,750,0.5455882352941176,144
SysPedia,2183,376,60.0,1121,1430,750,0.5455882352941176,144
My Toppings website,2206,238,4.0,956,1430,750,0.3029411764705882,222
Number Guessing Game,2207,186,22.0,935,1430,750,0.27205882352941174,210
Summer of Making 2025,2213,760,69.0,1125,1430,750,0.5514705882352942,145
Breach Protocol,2224,278,219.0,1307,1430,750,0.8191176470588235,173
sodalite,2227,191,105.0,1076,1430,750,0.47941176470588237,147
sodalite,2227,240,40.0,1076,1430,750,0.47941176470588237,147
PiStation,2238,771,658.0,1183,1430,775,0.6229007633587786,106
1st Class Grass site,2273,208,6.0,987,1430,750,0.34852941176470587,237
Mario glaze website for grub,2279,279,10.0,1008,1430,750,0.37941176470588234,185
Type Racer,2292,516,31.0,1174,1334,913,0.6199524940617577,23
Inside a Hacker brain,2300,335,16.0,1056,1420,809,0.40425531914893614,77
Inara Elite Dangerous Stations Popover,2303,202,11.0,969,1430,750,0.3220588235294118,204
An Idle Game,2316,803,94.0,1038,1328,913,0.30120481927710846,22
Project Portfolio,2322,711,177.0,1186,1394,813,0.6419965576592083,61
Invest == Free Money?,2365,210,36.0,1037,1430,750,0.42205882352941176,170
Cosmic Visualization Website,2391,461,376.0,1212,1430,750,0.6794117647058824,150
 P2P CHAT APP,2397,214,17.0,1021,1430,750,0.3985294117647059,147
 P2P CHAT APP,2397,532,5.0,1021,1430,750,0.3985294117647059,147
Sushrut's Blog,2406,371,29.0,1104,1369,813,0.5233812949640287,56
Plinko,2434,720,152.0,1135,1340,913,0.5199063231850117,25
My Hackaccino website,2443,224,4.0,1016,1430,750,0.3911764705882353,198
LeetCode Dark Fix,2454,286,62.0,1208,1430,750,0.6735294117647059,165
defaultbox.xyz (personal website),2470,272,12.0,1008,1430,750,0.37941176470588234,191
Cursed to Jump,2473,226,398.0,1286,1430,750,0.788235294117647,194
EXPACMAN,2477,573,209.0,1040,1430,787,0.39346811819595645,99
Learn like you are 5,2480,305,117.0,1142,1430,750,0.5764705882352941,160
My Personal Website,2484,407,22.0,984,1402,809,0.2951096121416526,73
Super simple 3d model,2496,229,4.0,996,1430,750,0.36176470588235293,196
Flappy Bird,2497,328,71.0,1213,1420,809,0.6612111292962357,77
Codebattles landing,2506,256,25.0,1055,1430,750,0.4485294117647059,162
HTML - CSS Reference,2521,259,12.0,1004,1430,750,0.3735294117647059,188
Two Truths and a Lie,2524,330,69.0,1222,1394,813,0.7039586919104991,61
Lawri Darbyshire - Portfolio,2534,662,73.0,1118,1391,813,0.527681660899654,60
Random Fact Generator,2535,235,33.0,826,1430,750,0.11176470588235295,155
Quote Site,2550,251,28.0,1219,1430,750,0.6897058823529412,150
